,Income Bracket,Percent of Households
0,"<$10,000",5.793772641368778
1,"$10,000-14,999",4.777102146573019
2,"$15,000-19,999",4.7295527536337
3,"$20,000-24,999",4.445062317912017
4,"$25,000-29,999",4.464001482896323
5,"$30,000-34,999",4.7077928619496054
6,"$35,000-39,999",4.781937678058372
7,"$40,000-44,999",4.132767576149547
8,"$45,000-49,999",4.138409029549127
9,"$50,000-59,999",7.310920644898716
10,"$60,000-74,999",10.427420687209617
11,"$75,000-99,999",13.136124240922298
12,"$100,000-124,999",9.940643851017276
13,"$125,000-149,999",5.7869223050978595
14,"$150,000-199,999",6.010968597252613
15,"$200,000+",5.416601185511135
