Total Awards,Award Type,Year,Institution,Campus,County,2 Digit CIP,6 Digit CIP,4 Digit CIP,State
3,Certificate,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",1,1.0601,1.06,Tennessee
13,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",1,1.0601,1.06,Tennessee
7,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",1,1.0601,1.06,Tennessee
1,Certificate,2021-22,Crump,Main Campus,"Hardin County, TN",1,1.0104,1.01,Tennessee
5,Diploma,2021-22,Crump,Main Campus,"Hardin County, TN",1,1.0104,1.01,Tennessee
2,Certificate,2021-22,Crump,McNairy Central High School,"McNairy County, TN",1,1.0104,1.01,Tennessee
4,Certificate,2021-22,Crump,Scotts Hill High School,"Henderson County, TN",1,1.0104,1.01,Tennessee
2,Certificate,2021-22,Covington,Main Campus,"Tipton County, TN",1,1.1201,1.12,Tennessee
1,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",1,1.1201,1.12,Tennessee
2,Certificate,2021-22,Memphis,Main Campus,"Shelby County, TN",1,1.8301,1.83,Tennessee
13,Certificate,2019-20,Memphis,Main Campus,"Shelby County, TN",1,1.8301,1.83,Tennessee
16,Diploma,2021-22,Memphis,Main Campus,"Shelby County, TN",1,1.8301,1.83,Tennessee
2,Diploma,2019-20,Memphis,Main Campus,"Shelby County, TN",1,1.8301,1.83,Tennessee
3,Certificate,2021-22,Athens,Main Campus,"McMinn County, TN",52,52.0402,52.04,Tennessee
9,Certificate,2021-22,Athens,Main Campus,"McMinn County, TN",48,48.0508,48.05,Tennessee
2,Certificate,2021-22,Athens,Main Campus,"McMinn County, TN",47,47.0604,47.06,Tennessee
2,Certificate,2021-22,Athens,Main Campus,"McMinn County, TN",47,47.0603,47.06,Tennessee
7,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0604,47.06,Tennessee
1,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0603,47.06,Tennessee
8,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",47,47.0303,47.03,Tennessee
5,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",52,52.0402,52.04,Tennessee
6,Certificate,2019-20,Athens,Main Campus,"McMinn County, TN",48,48.0508,48.05,Tennessee
12,Diploma,2021-22,Athens,Main Campus,"McMinn County, TN",47,47.0603,47.06,Tennessee
