Total Awards,Award Type,Year,Institution,Campus,County,2 Digit CIP,6 Digit CIP,4 Digit CIP,State,Program Family,Program Category,Program
3,Certificate,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",01,01.0601,01.06,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Applied Horticulture and Horticultural Business Services,"Applied Horticulture/Horticulture Operations, General"
13,Diploma,2021-22,Chattanooga,Main Campus,"Hamilton County, TN",01,01.0601,01.06,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Applied Horticulture and Horticultural Business Services,"Applied Horticulture/Horticulture Operations, General"
7,Diploma,2019-20,Chattanooga,Main Campus,"Hamilton County, TN",01,01.0601,01.06,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Applied Horticulture and Horticultural Business Services,"Applied Horticulture/Horticulture Operations, General"
1,Certificate,2021-22,Crump,Main Campus,"Hardin County, TN",01,01.0104,01.01,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Agricultural Business and Management,Farm/Farm and Ranch Management
5,Diploma,2021-22,Crump,Main Campus,"Hardin County, TN",01,01.0104,01.01,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Agricultural Business and Management,Farm/Farm and Ranch Management
2,Certificate,2021-22,Crump,McNairy Central High School,"McNairy County, TN",01,01.0104,01.01,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Agricultural Business and Management,Farm/Farm and Ranch Management
4,Certificate,2021-22,Crump,Scotts Hill High School,"Henderson County, TN",01,01.0104,01.01,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Agricultural Business and Management,Farm/Farm and Ranch Management
2,Certificate,2021-22,Covington,Main Campus,"Tipton County, TN",01,01.1201,01.12,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Soil Sciences,"Soil Science and Agronomy, General"
1,Diploma,2021-22,Covington,Main Campus,"Tipton County, TN",01,01.1201,01.12,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Soil Sciences,"Soil Science and Agronomy, General"
2,Certificate,2021-22,Memphis,Main Campus,"Shelby County, TN",01,01.8301,01.83,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Veterinary/Animal Health Technologies/Technicians,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
13,Certificate,2019-20,Memphis,Main Campus,"Shelby County, TN",01,01.8301,01.83,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Veterinary/Animal Health Technologies/Technicians,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
16,Diploma,2021-22,Memphis,Main Campus,"Shelby County, TN",01,01.8301,01.83,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Veterinary/Animal Health Technologies/Technicians,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
2,Diploma,2019-20,Memphis,Main Campus,"Shelby County, TN",01,01.8301,01.83,Tennessee,Agricultural/Animal/Plant/Veterinary Science and Related Fields,Veterinary/Animal Health Technologies/Technicians,Veterinary/Animal Health Technology/Technician and Veterinary Assistant
3,Certificate,2021-22,Athens,Main Campus,"McMinn County, TN",52,52.0402,52.04,Tennessee,"Business, Management, Marketing, and Related Support Services",Business Operations Support and Assistant Services,Executive Assistant/Executive Secretary
9,Certificate,2021-22,Athens,Main Campus,"McMinn County, TN",48,48.0508,48.05,Tennessee,Precision Production,Precision Metal Working,Welding Technology/Welder
2,Certificate,2021-22,Athens,Main Campus,"McMinn County, TN",47,47.0604,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Automobile/Automotive Mechanics Technology/Technician
2,Certificate,2021-22,Athens,Main Campus,"McMinn County, TN",47,47.0603,47.06,Tennessee,Mechanic and Repair Technologies/Technicians,Vehicle Maintenance and Repair Technologies/Technicians,Autobody/Collision and Repair Technology/Technician
